date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2011-10-17,14480,118,2771007,23483.1101694915,0.44588055,19319212.001164415103531582,43328223.63830864513705472298,1468195.42722083,0.000785716790036836,0.00202812888854589611225902922,0,0,4.47937142,11.5623627936001484805704,5900,28.7729893696571,15229.355658620708,5900,15229.355658620708,35.01861752,48.95422730880554,1,2.58124672180012,2430.63404098051,-45.94571049910784,7484449.98999999,5701,13184,213727.7402974,551684.029000411154392155688,37.3650071957577,96.44830233408745779297135092,1.09126899,2.8168345030396279342788,492620.25486887,1271574.417972610290800950264,0.109722255633396,0.0758647775865197,0.0818130152642246
2011-10-18,12586,120,2152816,17940.1333333333,0.41992353,18143927.78826390436460441835,43207695.26231710855265552969,1468195.42722083,0.000594658097174222,0.00144042528663027868298009127,0,0,2.92512318,7.0854519849343456425276,6000,29.237228776959,14533.64842898892,6000,14533.64842898892,48.60979153,49.32141229132444,1,2.42227473816482,2265.5026739890823,-53.74453744277579,7490449.98999999,4919,11684,154093.43992054,373256.6468364424500862234028,28.4879578653115,69.00566067904783816624764143,1.016931295,2.4632869863277363260419,332853.2996983,806262.139373995992401673806,0.1092791088718,0.0747065564662717,0.0819556237137436
2011-10-19,12283,133,2125648,15982.3157894737,0.38682853,16622980.28690945909811976967,42972477.65879382678566468071,1468195.42722083,0.000641576061672185,0.001422537546512001750872205482,0,0,3.10009553,6.8737014247459970721043,6650,32.3758520392897,14744.7438416715115,6650,14744.7438416715115,44.36924504,49.25270741724703,1,2.21725471303331,2173.0608137325385,-59.835083061463564,7497099.98999999,4832,10981,168970.64585159,374650.9608787202382569864629,27.3464278461124,60.63399602641806713929520404,1.0395,2.304836274198125745,300291.12417816,665821.9103660962090144545096,0.10771471737232,0.070733468712606,0.0823184184640483
2011-10-20,11014,115,1872867,16285.8,0.41178781,17677641.24199724390701911525,42929005.2475574550486815309,1468195.42722083,0.00131191107678729,0.003091024529046733843435032088,0,0,5.945581,14.00852316563980183098,5750,27.9727037432079,13547.710173728835,5750,13547.710173728835,60.7330275,49.41565576526996,1,2.35612350847458,2279.9227358329085,-61.668265685714964,7502849.98999999,4532,10396,123538.21797435,291071.299564422943506067023,29.5205034343122,69.55395212358754875105348388,1.025969995,2.4173120242090473002271,306895.15370311,723082.8862768170257543019438,0.107458136200675,0.071973038659531,0.083102744671251
2011-10-21,11937,121,1963347,16226.0082644628,0.4496029,19298566.08394993052322944915,42923579.71884833000301752334,1468195.42722083,0.000525613740667976,0.001350875830337576442046290966,0,0,2.67537394,6.875957976418269641415,6050,29.408435362581,15549.0584457627375,6050,15549.0584457627375,38.29777036,49.13516904023356,1,2.57009230508475,2301.9554253128504,-54.08144879396121,7508899.98999999,5090,11213,196066.24404434,503908.345105226926986457815,47.9446431600803,123.2221584557565707199083054,1.163,2.98901735081356425,537603.28375398,1381690.062764397389422049805,0.107592631493275,0.0751678866172776,0.0843346080319931
2011-10-22,12833,98,2264149,23103.5612244898,0.55278915,23709691.71602279582198371485,42891022.23800710686983878176,1468195.42722083,0.000553116746671667,0.001745352227103229007593823622,0,0,2.94977161,9.3079634271415199472389,4900,23.8028694186735,15461.882078725901,4900,15461.882078725901,31.82086561,48.798516660666564,1,3.15548613851549,2978.5230619663316,-42.36606344181144,7513799.98999999,5333,12014,236128.08284844,745098.8923424896403522623356,50.8382003326344,160.4192364567014221114169069,1.139838655,3.59674507599663981826595,610770.13879627,1927276.706790811889953349222,0.108276270994012,0.0863319891465969,0.0894554095454306
2011-10-23,13144,108,2291562,21218.1666666667,0.55184552,23668568.76036772835983490134,42889844.73243014666351566777,1468195.42722083,0.000564913777372263,0.001778207868017418104500210408,0,0,3.0957275,9.74457911673544730945,5400,26.2128950236899,16997.855021274132,5400,16997.855021274132,42.52611769,48.96274335256959,1,3.14775092986558,2910.5762993906887,-43.420591531054626,7519199.98999999,5480,12086,176813.694717,556565.47195840553996614086,44.3652602938888,139.6507893438169652278794675,1.27975811,4.0283597807555172148538,536198.53591194,1687819.440009371725906917025,0.108153284256169,0.0863904288248072,0.0883106398915822
2011-10-24,13637,127,2327765,18328.8582677165,0.44332969,18986480.97197730874851812338,42827000.81101084944836150242,1468195.42722083,0.000630552464737794,0.001590843511701599185595337809,0,0,3.48695513,8.7973646197098414275347,6350,30.7984134459255,16020.6435851549065,6350,16020.6435851549065,42.92503635,48.97187121157935,1,2.52293599766219,2093.666635650978,-53.77451465307549,7525549.98999999,5530,12801,175318.43023909,442317.1787038275888427530071,27.3932920357331,69.11152257142401232754280149,1.02157942,2.5773794931888614161298,350661.53134942,884696.6004368002625160124298,0.108587905673841,0.0942093045723718,0.0903109442465454
2011-10-25,12817,129,2177711,16881.480620155,0.49277864,21104090.26777268242983238907,42826714.86433917531237236894,1468195.42722083,0.00052653518117369,0.001475311472039395475592861012,0,0,2.67374565,7.4916316550160563332545,6450,31.2566383845681,18072.4087105493985,6450,18072.4087105493985,41.64223151,49.01987361208527,1,2.80192383109293,1914.0547560518846,-47.54086160516617,7531999.98999999,5078,11951,180874.07222848,506795.3734038020164390726464,30.033429215423,84.15138104813634302250225939,1.00968504,2.8290605754740182707672,358929.51255352,1005693.154906276670536718614,0.107607810269334,0.0963546718221395,0.0912355981702035
2011-10-26,12848,117,2262080,19334.0170940171,0.49043071,20936417.83833389060953260958,42689858.66418100654425751218,1468195.42722083,0.00059472870166793,0.001651862084691024854404489095,0,0,3.13778863,8.715224358829850798145,5850,28.3270428946279,16248.405648392775,5850,16248.405648392775,45.05574308,49.051769184079255,1,2.7775052390415,1739.4074430738415,-43.01181058279794,7537849.98999999,5276,12031,167300.5365203,464678.11667958705211729245,41.8977374107273,116.371185162280126652869883,1.05,2.916380500993575,504071.67878846,1400061.72868739179741166109,0.106496823039993,0.0962403784335262,0.0907983739373987
